City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,bay roberts,47.5999,-53.2648,8.97,95,100,1.79,CA,1684037151
190,banda aceh,5.5577,95.3222,31.54,58,86,3.51,ID,1684037306
191,thompson,55.7435,-97.8558,17.09,31,40,2.06,CA,1684037106
192,gadzhiyevo,69.2551,33.3362,3.97,99,99,2.96,RU,1684037308
193,isparta,38.0,31.0,11.12,75,5,1.55,TR,1684037309
194,weno,7.4515,151.8468,28.98,74,100,3.3,FM,1684037310
195,nyurba,63.2842,118.3319,2.95,95,100,3.46,RU,1684037310
196,tadine,-21.55,167.8833,24.56,65,99,7.95,NC,1684037311
197,saynshand,44.8824,110.1163,21.37,24,27,5.23,MN,1684037312
198,alice springs,-23.7,133.8833,23.75,31,40,5.14,AU,1684037312
199,saint-francois,46.4154,3.9054,9.69,93,100,3.09,FR,1684037313
200,nuku'alofa,-21.1333,-175.2,24.19,69,75,5.14,TO,1684037314
201,east london,-33.0153,27.9116,15.52,100,100,1.03,ZA,1684037315
202,itaituba,-4.2761,-55.9836,22.9,99,78,0.89,BR,1684037316
203,dawei,14.0833,98.2,29.77,76,84,5.08,MM,1684037316
204,nurmes,63.5421,29.1397,11.96,69,87,1.34,FI,1684037317
205,frontera,26.9333,-101.45,20.18,90,100,0.45,MX,1684037318
206,cabo san lucas,22.8909,-109.9124,23.67,74,0,6.04,MX,1684036702
207,mirabad,30.4362,61.8383,30.65,16,0,4.8,AF,1684037319
208,qarqaraly,49.4058,75.4742,14.53,35,94,10.2,KZ,1684037320
209,nemuro,43.3236,145.575,8.3,97,76,7.19,JP,1684037320
210,el calafate,-50.3408,-72.2768,3.44,85,69,0.7,AR,1684037321
211,tura,25.5198,90.2201,32.62,32,89,0.89,IN,1684037322
212,mejit,10.2753,170.8646,27.83,81,9,7.77,MH,1684037323
213,arraial do cabo,-22.9661,-42.0278,19.92,88,40,1.54,BR,1684037323
214,afaahiti,-17.75,-149.2833,26.93,81,64,5.56,PF,1684037324
215,maisi,43.0395,41.2621,8.96,97,100,2.6,GE,1684037325
216,nishinoomote,30.7333,131.0,19.82,79,100,5.13,JP,1684037325
217,barcelos,41.5388,-8.6151,14.36,87,11,2.57,PT,1684037326
218,leava,-14.3,-178.1667,28.22,75,5,4.99,WF,1684037327
219,urucui,-7.2294,-44.5561,26.54,71,73,0.34,BR,1684037327
220,brady,31.1352,-99.3351,18.25,94,0,2.57,US,1684037328
221,conduaga,8.862,117.4893,29.51,75,72,2.35,PH,1684037329
222,st. john's,47.5649,-52.7093,8.77,97,100,6.69,CA,1684037285
223,chonchi,-42.6128,-73.8092,13.56,98,100,1.37,CL,1684037330
224,tchintabaraden,15.8969,5.7985,28.76,40,67,2.63,NE,1684037331
225,bac lieu,9.285,105.7244,31.97,60,49,4.85,VN,1684037331
226,khagrachhari,23.1,91.9667,26.87,55,100,3.08,BD,1684037332
227,porbandar,21.6422,69.6093,30.35,71,0,5.91,IN,1684037333
228,'alaqahdari dishu,30.4374,63.313,31.65,10,0,4.71,AF,1684037333
229,mossel bay,-34.1831,22.146,12.96,74,100,9.15,ZA,1684037334
230,waynesville,35.4887,-82.9887,18.04,85,76,0.89,US,1684037335
231,keflavik,64.0049,-22.5624,5.24,93,100,11.32,IS,1684037335
232,kasungu,-13.0333,33.4833,17.38,80,66,2.56,MW,1684037336
233,okhotsk,59.3833,143.3,6.87,60,47,3.34,RU,1684037337
234,naze,28.3667,129.4833,21.08,69,100,5.54,JP,1684037338
235,khovd,48.0056,91.6419,20.81,23,28,4.73,MN,1684037338
236,talnakh,69.4865,88.3972,-5.44,91,100,3.63,RU,1684037339
237,rongelap,11.1635,166.8941,27.79,79,22,6.93,MH,1684037340
238,valbo,60.65,17.0333,11.09,58,1,1.53,SE,1684037340
239,brookings,44.3114,-96.7984,13.43,94,100,7.72,US,1684037341
240,dhanaura,28.9667,78.25,36.88,11,0,3.38,IN,1684037341
241,nova vicosa,-17.8919,-39.3719,23.64,82,76,3.59,BR,1684037342
242,sukhobezvodnoye,57.0491,44.8891,9.09,90,100,3.71,RU,1684037343
243,city of balikpapan,-1.242,116.8942,27.97,83,20,3.09,ID,1684037343
244,kachug,53.9606,105.8817,4.52,26,99,6.59,RU,1684037344
245,selkirk,50.1436,-96.8845,16.72,46,100,3.53,CA,1684037345
246,callao,-12.0667,-77.15,23.18,78,75,4.12,PE,1684037345
247,shakawe,-18.3667,21.85,14.07,50,10,2.51,BW,1684037346
248,lihue,21.9789,-159.3672,24.58,87,100,5.14,US,1684037347
249,saint-philippe,-21.3585,55.7679,24.51,79,39,0.96,RE,1684037347
250,songjianghe,42.1859,127.479,17.16,44,74,1.79,CN,1684037348
251,barras,-4.2444,-42.2944,23.59,96,89,1.13,BR,1684037349
252,mawu,29.5923,107.3139,24.48,57,100,0.49,CN,1684037349
253,klyuchi,52.2667,79.1667,16.61,44,100,4.53,RU,1684037350
254,waingapu,-9.6567,120.2641,28.75,55,100,5.5,ID,1684037350
255,al burayqah,30.4062,19.5739,22.59,42,69,6.45,LY,1684037351
256,mount gambier,-37.8333,140.7667,18.57,42,6,2.87,AU,1684037352
257,praia,14.9215,-23.5087,23.3,78,75,3.09,CV,1684037352
258,happy valley-goose bay,53.3168,-60.3315,3.17,93,100,6.17,CA,1684037353
259,ishigaki,24.3448,124.1572,22.2,79,100,1.77,JP,1684037354
260,sechura,-5.5569,-80.8222,25.47,73,1,5.9,PE,1684037354
261,prince albert,53.2001,-105.7677,17.69,48,1,3.44,CA,1684037355
262,indi,17.1667,75.9667,34.3,24,2,7.34,IN,1684037160
263,nyala,12.05,24.8833,27.85,18,5,5.95,SD,1684037356
264,ternate,0.8,127.4,29.06,74,13,3.46,ID,1684037357
265,lashio,22.9333,97.75,24.73,61,100,1.93,MM,1684037090
266,debipur,24.2333,88.6333,35.83,26,78,6.23,IN,1684037358
267,quatre cocos,-20.2078,57.7625,25.05,79,19,3.34,MU,1684037359
268,kavaratti,10.5669,72.642,29.11,76,59,2.38,IN,1684037360
269,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,25,0,8.0,RU,1684037360
270,castillos,-34.1667,-53.8333,11.91,95,86,2.12,UY,1684037361
271,ende,-8.8432,121.6623,27.9,63,97,3.02,ID,1684037362
272,teruel,40.6667,-0.6667,4.64,86,100,6.1,ES,1684037362
273,oppdal,62.5943,9.6912,7.22,85,0,3.8,NO,1684037363
274,beoumi,7.6736,-5.5764,23.91,93,100,1.76,CI,1684037364
275,glace bay,46.1969,-59.957,7.16,87,74,1.79,CA,1684037365
276,frankfurt (oder),52.3471,14.5506,9.16,95,37,0.45,DE,1684037365
277,san agustin de valle fertil,-30.6335,-67.4682,15.36,71,61,0.73,AR,1684037366
278,kibondo,-3.5864,30.7203,14.97,94,55,0.8,TZ,1684037366
279,yangjiang,21.85,111.9667,20.99,92,100,2.33,CN,1684037367
280,fale old settlement,-9.3852,-171.2468,28.39,78,18,2.93,TK,1684037368
281,vernon,50.2581,-119.2691,26.2,58,99,0.68,CA,1684037369
282,pangody,65.85,74.4859,-6.13,88,55,6.6,RU,1684037369
283,northam,51.0333,-4.2167,10.34,97,95,1.34,GB,1684037370
284,illizi,26.4833,8.4667,28.32,25,57,4.42,DZ,1684037371
285,berezovyy,51.6667,135.7,20.72,39,78,3.14,RU,1684037371
286,bei'an,24.5399,109.533,21.13,83,100,0.96,CN,1684037372
287,mahina,-17.5065,-149.489,27.87,74,20,2.06,PF,1684037373
288,island harbour,50.724,-1.2758,10.52,94,2,0.45,GB,1684037373
289,shahrud,36.4182,54.9763,22.76,26,97,0.98,IR,1684037374
290,sassandra,4.95,-6.0833,25.7,90,92,1.91,CI,1684037375
291,posto fiscal rolim de moura,-13.0833,-62.2667,21.51,87,99,1.06,BR,1684037376
292,bikenibeu village,1.3673,173.1241,30.98,74,20,4.63,KI,1684037377
293,borisoglebsk,51.3671,42.0849,14.03,74,39,1.96,RU,1684037378
294,pisco,-13.7,-76.2167,20.03,83,23,2.57,PE,1684037079
295,paradip garh,20.3167,86.6167,33.43,48,78,3.89,IN,1684037379
296,bijie,27.3125,105.2942,22.39,27,100,1.54,CN,1684037379
297,mayya,61.7333,130.2811,13.62,35,93,1.91,RU,1684037380
298,iranshahr,27.2025,60.6848,34.72,15,0,0.64,IR,1684037381
299,howrah,22.5892,88.3103,32.0,66,75,6.69,IN,1684037381
300,kharabali,47.4196,47.2568,17.67,47,100,3.29,RU,1684037382
301,bodaybo,57.8506,114.1933,4.27,60,100,4.37,RU,1684037383
302,port saint john's,-31.6229,29.5448,18.76,88,100,2.0,ZA,1684037383
303,san patricio,28.017,-97.5169,24.91,85,98,2.1,US,1684037384
304,kolonia,50.9333,6.95,9.97,91,22,1.54,DE,1684037385
305,al bawiti,28.3492,28.8659,16.9,58,95,3.88,EG,1684037235
306,sovetskiy,61.3614,63.5842,4.11,65,100,4.94,RU,1684037386
307,mineral wells,32.8085,-98.1128,22.41,83,75,1.54,US,1684037387
308,novyy urgal,51.0736,132.5642,19.2,43,83,4.71,RU,1684037387
309,geraldton,-28.7667,114.6,21.23,49,40,5.14,AU,1684037388
310,battagram,34.6772,73.0233,23.76,38,100,0.89,PK,1684037389
311,badulla,6.9895,81.0557,29.39,55,100,1.1,LK,1684037389
312,newman,37.3138,-121.0208,28.34,78,0,1.79,US,1684037390
313,princeville,45.7668,-61.2985,6.84,90,0,0.0,CA,1684037153
314,thunder bay,48.4001,-89.3168,9.13,62,100,1.99,CA,1684037391
315,manali,13.1667,80.2667,33.05,68,100,7.17,IN,1684037290
316,kurumkan,54.3,110.3,5.53,37,98,5.2,RU,1684037392
317,daru,-9.0763,143.2092,27.7,88,84,5.74,PG,1684037393
318,baruun-urt,46.6806,113.2792,16.82,29,50,6.13,MN,1684037394
319,sinop,41.7711,34.8709,8.24,67,4,1.2,TR,1684037395
320,abashiri,44.0213,144.2697,17.25,52,54,6.43,JP,1684037396
321,sao paulo de olivenca,-3.3783,-68.8725,22.98,98,58,0.65,BR,1684037396
322,borkum,53.5809,6.6915,11.64,91,100,4.48,DE,1684037397
323,santa rosalia,27.3167,-112.2833,21.87,48,0,2.78,MX,1684037398
324,yoloten,37.2989,62.3597,30.4,17,0,4.05,TM,1684037398
325,guacimo,10.2104,-83.6807,28.13,96,86,0.91,CR,1684037399
326,sale,34.0389,-6.8166,15.97,94,0,0.0,MA,1684037253
327,shiogama,38.3167,141.0333,17.64,67,100,10.32,JP,1684037400
328,alpena,45.0617,-83.4327,12.18,70,0,0.45,US,1684037401
329,touros,-5.1989,-35.4608,25.56,88,90,3.28,BR,1684037299
330,kiunga,-6.1219,141.2906,29.66,78,94,1.34,PG,1684037402
331,mahibadhoo,3.7833,72.9667,28.65,78,99,8.33,MV,1684037403
332,tralee,52.2704,-9.7026,10.33,94,100,2.11,IE,1684037404
333,bodo,67.28,14.405,8.76,89,100,5.66,NO,1684037404
334,miles city,46.4083,-105.8406,9.54,100,100,4.12,US,1684037141
335,luderitz,-26.6481,15.1594,12.39,63,0,4.61,NA,1684037406
336,jinchang,38.4953,102.1739,23.22,13,39,1.93,CN,1684037406
337,new norfolk,-42.7826,147.0587,15.72,47,63,1.79,AU,1684037407
338,flin flon,54.7682,-101.865,13.27,48,19,3.16,CA,1684037408
339,meadow lake,34.8014,-106.5436,16.73,52,99,4.55,US,1684037408
340,scarborough,54.2797,-0.4044,8.21,92,77,0.89,GB,1684037409
341,bamboo flat,11.7,92.7167,30.25,76,93,8.87,IN,1684037410
342,freetown,8.484,-13.2299,26.32,87,100,3.87,SL,1684037410
343,jihlava,49.3961,15.5912,9.34,94,81,3.98,CZ,1684037411
344,saudarkrokur,65.7461,-19.6394,2.67,99,100,3.41,IS,1684037411
345,ribnitz-damgarten,54.25,12.4667,9.51,79,20,3.73,DE,1684037412
346,queenstown,-31.8976,26.8753,10.34,98,100,3.24,ZA,1684037413
347,itoman,26.1247,127.6694,24.01,59,75,5.66,JP,1684037413
348,shiqi,22.5168,113.3852,23.36,99,100,1.88,CN,1684037414
349,zag,46.9441,99.165,15.48,29,32,9.56,MN,1684037415
350,wau,7.7029,27.9953,25.79,56,96,2.39,SS,1684037416
351,mount isa,-20.7333,139.5,29.87,30,40,3.09,AU,1684037417
352,gandiaye,14.2333,-16.2667,21.66,76,86,1.43,SN,1684037417
353,mbandaka,0.0487,18.2603,21.44,96,75,1.02,CD,1684037418
354,broken hill,-31.95,141.4333,21.61,35,14,4.83,AU,1684037418
355,hami,42.8,93.45,28.51,12,11,2.96,CN,1684037419
